eventName;date;locationCountry;locationCity;attendees;maxCapacity;currentAttendees;eventImg;eventBgImg;description;createdBy
Burning Man;2025-08-10 0:00:00;USA;Black Rock Desert;noah84,emma78,lucas60,emma23,lucas83,emma82,noah26,laura2,noah72,laura9,lucas85,lucas50,lucas45,daniel0;5000;14;/img/events/10.jpg;/img/events/bg_10.jpg;International music festival Burning Man.;daniel0
Roskilde;2025-08-17 0:00:00;Denmark;Roskilde;emma31,sofía61,ava74,liam71,laura13,sofía73,emma35;5000;7;/img/events/11.jpg;/img/events/bg_11.jpg;International music festival Roskilde.;daniel0
Exit Festival;2025-08-24 0:00:00;Serbia;Novi Sad;laura9,lucas60,emma70,emma1,liam4,ava19,ava28,jonas68,liam65,liam55,liam76,sofía73,ava29,emma20;5000;14;/img/events/12.jpg;/img/events/bg_12.jpg;International music festival Exit Festival.;daniel0
Montreux Jazz;2025-08-31 0:00:00;Switzerland;Montreux;liam4,emma35,ava93,noah79,laura2,emma44,liam55,noah26,laura3;5000;9;/img/events/13.jpg;/img/events/bg_13.jpg;International music festival Montreux Jazz.;daniel0
Open'er;2025-09-07 0:00:00;Poland;Gdynia;jonas68,sofía52,ava89,sofía53,laura51,sofía24,jonas25,mia96,liam55,emma1,liam34,lucas99,liam63,daniel39;5000;14;/img/events/14.jpg;/img/events/bg_14.jpg;International music festival Open'er.;daniel0
Creamfields;2025-09-14 0:00:00;UK;Daresbury;jonas40,daniel90,mia21,jonas33,lucas16,ava28,daniel62,emma23;5000;8;/img/events/15.jpg;/img/events/bg_15.jpg;International music festival Creamfields.;daniel0
Awakenings;2025-09-21 0:00:00;Netherlands;Amsterdam;sofía61,laura88,jonas92,mia96,noah30,mia10,emma15,daniel12,lucas57,lucas59;5000;10;/img/events/16.jpg;/img/events/bg_16.jpg;International music festival Awakenings.;daniel0
Electric Zoo;2025-09-28 0:00:00;USA;New York;emma95,ava6,ava37,laura13,daniel48,emma78,emma31,mia5,ava89,liam4,daniel86;5000;11;/img/events/17.jpg;/img/events/bg_17.jpg;International music festival Electric Zoo.;daniel0
Mysteryland;2025-10-05 0:00:00;Netherlands;Haarlemmermeer;jonas92,noah42,ava64,daniel39,ava93,jonas68,liam76,emma31;5000;8;/img/events/18.jpg;/img/events/bg_18.jpg;International music festival Mysteryland.;daniel0
Reading Festival;2025-10-12 0:00:00;UK;Reading;mia5,mia81,mia10,jonas68,lucas50,emma1,noah84,liam65,emma23,daniel67,laura2,lucas57,sofía73,lucas16;5000;14;/img/events/19.jpg;/img/events/bg_19.jpg;International music festival Reading Festival.;daniel0
Leeds Festival;2025-10-19 0:00:00;UK;Leeds;laura9,daniel12,laura88,laura2,laura36,lucas45,daniel62,noah30,daniel86,sofía61,daniel48,ava19,sofía97,liam76;5000;14;/img/events/20.jpg;/img/events/bg_20.jpg;International music festival Leeds Festival.;daniel0
Mawazine;2025-10-26 0:00:00;Morocco;Rabat;emma47,liam55,jonas25,emma23,ava91,jonas17;5000;6;/img/events/21.jpg;/img/events/bg_21.jpg;International music festival Mawazine.;daniel0
Summer Sonic;2025-11-02 0:00:00;Japan;Tokyo;mia77,sofía53,jonas98,emma95,emma66,emma23;5000;6;/img/events/22.jpg;/img/events/bg_22.jpg;International music festival Summer Sonic.;daniel0
Benicassim;2025-11-09 0:00:00;Spain;Benicassim;emma15,emma20,ava74,jonas17,noah72,laura9,sofía61,emma23;5000;8;/img/events/23.jpg;/img/events/bg_23.jpg;International music festival Benicassim.;daniel0
NOS Alive;2025-11-16 0:00:00;Portugal;Lisbon;daniel0,liam55,noah72,sofía73,emma70,noah42,ava37,daniel86,noah56,jonas68,jonas17;5000;11;/img/events/24.jpg;/img/events/bg_24.jpg;International music festival NOS Alive.;daniel0
Dekmantel;2025-11-23 0:00:00;Netherlands;Amsterdam;jonas17,daniel39,mia77,laura88,emma23,daniel12,ava28,emma78,liam55,mia96,lucas99;5000;11;/img/events/25.jpg;/img/events/bg_25.jpg;International music festival Dekmantel.;daniel0
Boomtown;2025-11-30 0:00:00;UK;Winchester;jonas92,noah84,jonas25,laura51,noah94,liam41;5000;6;/img/events/26.jpg;/img/events/bg_26.jpg;International music festival Boomtown.;daniel0
Latitude;2025-12-07 0:00:00;UK;Suffolk;mia58,emma70,jonas92,sofía52,mia77,daniel48,sofía22;5000;7;/img/events/27.jpg;/img/events/bg_27.jpg;International music festival Latitude.;daniel0
Pitchfork Paris;2025-12-14 0:00:00;France;Paris;daniel12,lucas99,ava19,jonas25,laura9,emma95,liam63;5000;7;/img/events/28.jpg;/img/events/bg_28.jpg;International music festival Pitchfork Paris.;daniel0
Outside Lands;2025-12-21 0:00:00;USA;San Francisco;liam71,jonas40,jonas17,noah54,lucas57,daniel12,daniel90;5000;7;/img/events/29.jpg;/img/events/bg_29.jpg;International music festival Outside Lands.;daniel0
